tic,cik,name,sector,industry,exchange
A,0001090872,"Agilent Technologies, Inc.",Healthcare,Diagnostics & Research,NYSE
AAPL,0000320193,Apple Inc.,Technology,Consumer Electronics,NASDAQ
ABBV,0001551152,AbbVie Inc.,Healthcare,Drug Manufacturers - General,NYSE
ABNB,0001559720,"Airbnb, Inc.",Consumer Cyclical,Travel Services,NASDAQ
ABT,0000001800,Abbott Laboratories,Healthcare,Medical Devices,NYSE
ACN,0001467373,Accenture PLC,Technology,Information Technology Services,NYSE
ADBE,0000796343,Adobe Inc.,Technology,Software - Application,NASDAQ
ADI,0000006281,"Analog Devices, Inc.",Technology,Semiconductors,NASDAQ
ADM,0000007084,Archer-Daniels-Midland Company,Consumer Defensive,Farm Products,NYSE
ADP,0000008670,"Automatic Data Processing, Inc.",Technology,Software - Application,NASDAQ
ADSK,0000769397,"Autodesk, Inc.",Technology,Software - Application,NASDAQ
AKAM,0001086222,"Akamai Technologies, Inc.",Technology,Software - Infrastructure,NASDAQ
ALB,0000915913,Albemarle Corporation,Basic Materials,Specialty Chemicals,NYSE
ALGN,0001097149,"Align Technology, Inc.",Healthcare,Medical Instruments & Supplies,NASDAQ
ALLE,0001579241,Allegion plc,Industrials,Security & Protection Services,NYSE
AMAT,0000006951,"Applied Materials, Inc.",Technology,Semiconductor Equipment & Materials,NASDAQ
AMD,0000002488,"Advanced Micro Devices, Inc.",Technology,Semiconductors,NASDAQ
AME,0001037868,"AMETEK, Inc.",Industrials,Specialty Industrial Machinery,NYSE
AMZN,0001018724,"Amazon.com, Inc.",Consumer Cyclical,Internet Retail,NASDAQ
APA,0001841666,APA Corporation,Energy,Oil & Gas E&P,NASDAQ
APH,0000820313,Amphenol Corporation,Technology,Electronic Components,NYSE
AVGO,0001730168,Broadcom Inc.,Technology,Semiconductors,NASDAQ
AVY,0000008818,Avery Dennison Corporation,Consumer Cyclical,Packaging & Containers,NYSE
BA,0000012927,Boeing Company (The),Industrials,Aerospace & Defense,NYSE
BAX,0000010456,Baxter International Inc.,Healthcare,Medical Instruments & Supplies,NYSE
BDX,0000010795,"Becton, Dickinson and Company",Healthcare,Medical Instruments & Supplies,NYSE
BG,0001996862,Bunge Ltd,Consumer Defensive,Farm Products,NYSE
BKNG,0001075531,Booking Holdings Inc.,Consumer Cyclical,Travel Services,NASDAQ
BKR,0001701605,Baker Hughes Company,Energy,Oil & Gas Equipment & Services,NASDAQ
BMY,0000014272,Bristol-Myers Squibb Company,Healthcare,Drug Manufacturers - General,NYSE
BSX,0000885725,Boston Scientific Corporation,Healthcare,Medical Devices,NYSE
CAG,0000023217,"ConAgra Brands, Inc.",Consumer Defensive,Packaged Foods,NYSE
CAH,0000721371,"Cardinal Health, Inc.",Healthcare,Medical Distribution,NYSE
CARR,0001783180,Carrier Global Corporation,Industrials,Building Products & Equipment,NYSE
CAT,0000018230,"Caterpillar, Inc.",Industrials,Farm & Heavy Construction Machinery,NYSE
CDW,0001402057,CDW Corporation,Technology,Information Technology Services,NASDAQ
CHRW,0001043277,"C.H. Robinson Worldwide, Inc.",Industrials,Integrated Freight & Logistics,NASDAQ
CHTR,0001091667,"Charter Communications, Inc.",Communication Services,Telecom Services,NASDAQ
CI,0001739940,The Cigna Group,Healthcare,Healthcare Plans,NYSE
CL,0000021665,Colgate-Palmolive Company,Consumer Defensive,Household & Personal Products,NYSE
CMCSA,0001166691,Comcast Corporation,Communication Services,Telecom Services,NASDAQ
CMG,0001058090,"Chipotle Mexican Grill, Inc.",Consumer Cyclical,Restaurants,NYSE
CNC,0001071739,Centene Corporation,Healthcare,Healthcare Plans,NYSE
COO,0000711404,"The Cooper Companies, Inc. ",Healthcare,Medical Instruments & Supplies,NASDAQ
COP,0001163165,ConocoPhillips,Energy,Oil & Gas E&P,NYSE
COST,0000909832,Costco Wholesale Corporation,Consumer Defensive,Discount Stores,NASDAQ
CPAY,0001175454,"Corpay, Inc.",Technology,Software - Infrastructure,NYSE
CPB,0000016732,Campbell Soup Company,Consumer Defensive,Packaged Foods,NYSE
CRL,0001100682,"Charles River Laboratories International, Inc.",Healthcare,Diagnostics & Research,NYSE
CRM,0001108524,"Salesforce, Inc.",Technology,Software - Application,NYSE
CRWD,0001535527,"CrowdStrike Holdings, Inc.",Technology,Software - Infrastructure,NASDAQ
CSCO,0000858877,"Cisco Systems, Inc.",Technology,Communication Equipment,NASDAQ
CSX,0000277948,CSX Corporation,Industrials,Railroads,NASDAQ
CTAS,0000723254,Cintas Corporation,Industrials,Specialty Business Services,NASDAQ
CTSH,0001058290,Cognizant Technology Solutions Corporation,Technology,Information Technology Services,NASDAQ
CTVA,0001755672,"Corteva, Inc.",Basic Materials,Agricultural Inputs,NYSE
CVS,0000064803,CVS Health Corporation,Healthcare,Healthcare Plans,NYSE
CZR,0001590895,"Caesars Entertainment, Inc.",Consumer Cyclical,Resorts & Casinos,NASDAQ
DAL,0000027904,"Delta Air Lines, Inc.",Industrials,Airlines,NYSE
DASH,0001792789,"DoorDash, Inc.",Consumer Cyclical,Internet Retail,NASDAQ
DD,0001666700,"DuPont de Nemours, Inc.",Basic Materials,Specialty Chemicals,NYSE
DECK,0000910521,Deckers Outdoor Corporation,Consumer Cyclical,Footwear & Accessories,NYSE
DELL,0001571996,Dell Technologies Inc.,Technology,Computer Hardware,NYSE
DGX,0001022079,Quest Diagnostics Incorporated,Healthcare,Diagnostics & Research,NYSE
DHI,0000882184,"D.R. Horton, Inc.",Consumer Cyclical,Residential Construction,NYSE
DHR,0000313616,Danaher Corporation,Healthcare,Diagnostics & Research,NYSE
DIS,0001744489,Walt Disney Company (The),Communication Services,Entertainment,NYSE
DLTR,0000935703,"Dollar Tree, Inc.",Consumer Defensive,Discount Stores,NASDAQ
DOV,0000029905,Dover Corporation,Industrials,Specialty Industrial Machinery,NYSE
DPZ,0001286681,Domino's Pizza Inc,Consumer Cyclical,Restaurants,NYSE
DVA,0000927066,DaVita Inc.,Healthcare,Medical Care Facilities,NYSE
DVN,0001090012,Devon Energy Corporation,Energy,Oil & Gas E&P,NYSE
DXCM,0001093557,"DexCom, Inc.",Healthcare,Medical Devices,NASDAQ
EA,0000712515,Electronic Arts Inc.,Communication Services,Electronic Gaming & Multimedia,NASDAQ
EBAY,0001065088,eBay Inc.,Consumer Cyclical,Internet Retail,NASDAQ
EFX,0000033185,"Equifax, Inc.",Industrials,Consulting Services,NYSE
EL,0001001250,"Estee Lauder Companies, Inc. (The)",Consumer Defensive,Household & Personal Products,NYSE
EMN,0000915389,Eastman Chemical Company,Basic Materials,Specialty Chemicals,NYSE
ENPH,0001463101,"Enphase Energy, Inc.",Technology,Solar,NASDAQ
EOG,0000821189,"EOG Resources, Inc.",Energy,Oil & Gas E&P,NYSE
EPAM,0001352010,"EPAM Systems, Inc.",Technology,Information Technology Services,NYSE
EQT,0000033213,EQT Corporation,Energy,Oil & Gas E&P,NYSE
ETN,0001551182,Eaton Corp PLC,Industrials,Specialty Industrial Machinery,NYSE
EW,0001099800,Edwards Lifesciences Corporation,Healthcare,Medical Devices,NYSE
EXPE,0001324424,"Expedia Group, Inc.",Consumer Cyclical,Travel Services,NASDAQ
F,0000037996,Ford Motor Company,Consumer Cyclical,Auto Manufacturers,NYSE
FANG,0001539838,"Diamondback Energy, Inc.",Energy,Oil & Gas E&P,NASDAQ
FAST,0000815556,Fastenal Company,Industrials,Industrial Distribution,NASDAQ
FDX,0001048911,FedEx Corporation,Industrials,Integrated Freight & Logistics,NYSE
FFIV,0001048695,"F5, Inc.",Technology,Software - Infrastructure,NASDAQ
FI,0000798354,"Fiserv, Inc.",Technology,Information Technology Services,NYSE
FICO,0000814547,Fair Isaac Corporation,Technology,Software - Application,NYSE
FOXA,0001754301,Fox Corporation,Communication Services,Entertainment,NASDAQ
FTNT,0001262039,"Fortinet, Inc.",Technology,Software - Infrastructure,NASDAQ
FTV,0001659166,Fortive Corporation,Technology,Scientific & Technical Instruments,NYSE
GD,0000040533,General Dynamics Corporation,Industrials,Aerospace & Defense,NYSE
GE,0000040545,GE HealthCare Technologies Inc.,Healthcare,Health Information Services,NASDAQ
GIS,0000040704,"General Mills, Inc.",Consumer Defensive,Packaged Foods,NYSE
GLW,0000024741,Corning Incorporated,Technology,Electronic Components,NYSE
GM,0001467858,General Motors Company,Consumer Cyclical,Auto Manufacturers,NYSE
GNRC,0001474735,Generac Holdlings Inc.,Industrials,Specialty Industrial Machinery,NYSE
GOOG,0001652044,Alphabet Inc.,Communication Services,Internet Content & Information,NASDAQ
GPC,0000040987,Genuine Parts Company,Consumer Cyclical,Auto Parts,NYSE
GPN,0001123360,Global Payments Inc.,Industrials,Specialty Business Services,NYSE
GRMN,0001121788,Garmin Ltd.,Technology,Scientific & Technical Instruments,NYSE
HAL,0000045012,Halliburton Company,Energy,Oil & Gas Equipment & Services,NYSE
HAS,0000046080,"Hasbro, Inc.",Consumer Cyclical,Leisure,NASDAQ
HCA,0000860730,"HCA Healthcare, Inc.",Healthcare,Medical Care Facilities,NYSE
HD,0000354950,"Home Depot, Inc. (The)",Consumer Cyclical,Home Improvement Retail,NYSE
HII,0001501585,"Huntington Ingalls Industries, Inc.",Industrials,Aerospace & Defense,NYSE
HLT,0001585689,Hilton Worldwide Holdings Inc.,Consumer Cyclical,Lodging,NYSE
HOLX,0000859737,"Hologic, Inc.",Healthcare,Medical Instruments & Supplies,NASDAQ
HON,0000773840,Honeywell International Inc.,Industrials,Conglomerates,NASDAQ
HPQ,0000047217,HP Inc.,Technology,Computer Hardware,NYSE
HRL,0000048465,Hormel Foods Corporation,Consumer Defensive,Packaged Foods,NYSE
HSY,0000047111,The Hershey Company,Consumer Defensive,Confectioners,NYSE
HUBB,0000048898,Hubbell Inc,Industrials,Electrical Equipment & Parts,NYSE
HUM,0000049071,Humana Inc.,Healthcare,Healthcare Plans,NYSE
HWM,0000004281,Howmet Aerospace Inc.,Industrials,Aerospace & Defense,NYSE
IBM,0000051143,International Business Machines Corporation,Technology,Information Technology Services,NYSE
IDXX,0000874716,"IDEXX Laboratories, Inc.",Healthcare,Diagnostics & Research,NASDAQ
IEX,0000832101,IDEX Corporation,Industrials,Specialty Industrial Machinery,NYSE
INTC,0000050863,Intel Corporation,Technology,Semiconductors,NASDAQ
INTU,0000896878,Intuit Inc.,Technology,Software - Application,NASDAQ
